ID	Gender	Age	квота сек	Слово	Предыдущее + слово	Стратегия	Первая_буква	Порядок_буква	Порядок_весь_тест	Частотность	Пауза	VP	VS	N of words	N of words_P	N of words_O	N of words_S	Mean pause
pr_A_1	m	69	1	папа			п	1	1	143,4				47	15	13	19	2,861590909
pr_A_1	m	69	1	пошел	папа пошел	8	п	2	2	587,2	0,37			47	15	13	19	2,861590909
pr_A_1	m	69	1	пришел	пошел пришел	2	п	3	3	523,3	2,12			47	15	13	19	2,861590909
pr_A_1	m	69	1	пришить	пришел пришить	2	п	4	4	5,9	8,12	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	1	привезти	пришить привезти	2	п	5	5	82	0,38			47	15	13	19	2,861590909
pr_A_1	m	69	1	приколоть	привезти приколоть	2	п	6	6	2,2	3,53	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	покарать	приколоть покарать	8	п	7	7	2,4	2,62			47	15	13	19	2,861590909
pr_A_1	m	69	2	почитать	покарать почитать	6	п	8	8	27,2	2,01			47	15	13	19	2,861590909
pr_A_1	m	69	2	покарать	почитать покарать	8	п	9	9	2,4	4,39	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	пускать	покарать пускать	8	п	10	10	35,5	8,86	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	путать	пускать путать	1	п	11	11	14,8	1,04	1		47	15	13	19	2,861590909
pr_A_1	m	69	3	пукать	путать пукать	1	п	12	12	0,6	7,1	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	писать	пукать писать	8	п	13	13	444,3	8,02	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	петь	писать петь	3	п	14	14	143,2	1,78			47	15	13	19	2,861590909
pr_A_1	m	69	3	показать	петь показать	3	п	15	15	277,7	1,52	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	Онегин			о	1	16	9				47	15	13	19	2,861590909
pr_A_1	m	69	1	Ольга	Онегин Ольга	3	о	2	17	116,7	1,91	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	орать	Ольга орать	8	о	3	18	40,6	1,36	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	окать	орать окать	3	о	4	19	0,8	3,64	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	1	окружность	окать окружность	1	о	5	20	4,2	1,08	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	округ	окружность округ	1	о	6	21	67,6	1,35	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	окультуривать	округ окультуривать	1	о	7	22	0,4	1,2			47	15	13	19	2,861590909
pr_A_1	m	69	2	окантовать	окультуривать окантовать	1	о	8	23	0,4	7,15	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	орать	окантовать орать	8	о	9	24	40,6	3,38	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	окапывать	орать окапывать	8	о	10	25	0,3	6,36	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	окультуривать	окапывать окультуривать	3	о	11	26	0,4	1,51	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	орать	окультуривать орать	8	о	12	27	40,6	2,28	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	3	оква	орать оква	9	о	13	28		4,99	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	1	слава			с	1	29	120,2				47	15	13	19	2,861590909
pr_A_1	m	69	1	сокол	слава сокол	8	с	2	30	8,2	0,56			47	15	13	19	2,861590909
pr_A_1	m	69	1	селить	сокол селить	8	с	3	31	1,2	3,01	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	1	слушать	селить слушать	1	с	4	32	239,5	0,9	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	смотреть	слушать смотреть	3	с	5	33	667,2	2,01	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	1	смеяться	смотреть смеяться	8	с	6	34	117,9	0,83	1		47	15	13	19	2,861590909
pr_A_1	m	69	1	смотрины	смеяться смотрины	3а	с	7	35	1,2	0,83	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	сокол	смотрины сокол	8	с	8	36	8,2	8,15	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	ссориться	сокол ссориться	8	с	9	37	10,9	1,8	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	содействие	ссориться содействие	6	с	10	38	18,6	1,81	1	1	47	15	13	19	2,861590909
pr_A_1	m	69	2	содружество	содействие содружество	3	с	11	39	10,1	0,1			47	15	13	19	2,861590909
pr_A_1	m	69	2	сокамерники	содружество сокамерники	2	с	12	40		1,2	1		47	15	13	19	2,861590909
