Strategy;T;group;Q1;Q2;Q3;Std;Mean
S1;T1;senior academics;2.0;3.5;5.0;1.93;3.55
S1;T1;students;1.0;2.0;3.0;1.51;2.24
S1;T2;senior academics;1.0;2.0;3.0;1.71;2.33
S1;T2;students;1.0;2.0;2.0;0.9;1.76
S1;T3;senior academics;1.0;2.0;4.0;1.8;2.6
S1;T3;students;1.0;1.5;2.0;0.82;1.7
S2;T1;senior academics;1.5;2.0;3.5;1.79;2.73
S2;T1;students;1.0;1.0;2.0;0.84;1.64
S2;T2;senior academics;1.0;1.0;4.5;3.14;3.1
S2;T2;students;1.0;1.5;3.25;1.41;2.12
S2;T3;senior academics;1.0;2.0;4.25;4.76;3.88
S2;T3;students;1.0;2.0;2.0;1.34;2.06
S3;T1;senior academics;3.0;5.0;8.0;3.35;5.24
S3;T1;students;3.0;4.0;5.5;1.63;4.26
S3;T2;senior academics;3.0;4.0;5.0;1.91;3.81
S3;T2;students;1.0;1.0;3.0;1.46;2.16
S3;T3;senior academics;2.0;3.0;4.0;2.13;3.38
S3;T3;students;1.0;1.0;2.0;0.62;1.41
S4;T1;senior academics;7.0;10.0;12.0;3.28;9.8
S4;T1;students;11.0;13.0;14.0;2.65;12.74
S4;T2;senior academics;6.0;7.0;10.25;3.47;8.25
S4;T2;students;8.0;9.0;10.5;2.66;9.37
S4;T3;senior academics;8.0;9.0;12.0;3.64;9.96
S4;T3;students;6.0;8.0;9.0;3.21;8.07
