ID	Квота сек	Слово	Предыдущее + слово	Первая_буква	Стратегия	Порядок_буква	Порядок_весь_тест	Частотность	Пауза	VP	VS	N of words	N of words_P	N of words_O	N of words_S	Mean pause
Б_В_10	1	пара		п		1	1	152,7				59	28	13	18	2,390357143
Б_В_10	1	период	пара период	п	8	2	2	204,2	0,1			59	28	13	18	2,390357143
Б_В_10	1	парад	период парад	п	11	3	3	13,2	3,15	1		59	28	13	18	2,390357143
Б_В_10	1	предлог	парад предлог	п	8	4	4	12,7	1	1		59	28	13	18	2,390357143
Б_В_10	1	по	предлог по	п	3	5	5	5786,7	0,7			59	28	13	18	2,390357143
Б_В_10	1	повреждение	по повреждение	п	8	6	6	18,5	3,34	1		59	28	13	18	2,390357143
Б_В_10	1	походка	повреждение походка	п	8	7	7	16,3	0,1			59	28	13	18	2,390357143
Б_В_10	1	переход	походка переход	п	2	8	8	89,3	0,1			59	28	13	18	2,390357143
Б_В_10	1	панама	переход панама	п	8	9	9	2,1	2	1		59	28	13	18	2,390357143
Б_В_10	1	педали	панама педали	п	8	10	10	8,6	0,96	1		59	28	13	18	2,390357143
Б_В_10	2	павлин	педали павлин	п	8	11	11	2,4	4,31	1		59	28	13	18	2,390357143
Б_В_10	2	парк	павлин парк	п	8	12	12	69,5	1,04			59	28	13	18	2,390357143
Б_В_10	2	падать	парк падать	п	8	13	13	84,2	2,22	1		59	28	13	18	2,390357143
Б_В_10	2	парик	падать парик	п	8	14	14	7,2	0,1			59	28	13	18	2,390357143
Б_В_10	2	прикол	парик прикол	п	8	15	15	3,4	3,07			59	28	13	18	2,390357143
Б_В_10	2	парадигма	прикол парадигма	п	8	16	16	7,6	3,46	1		59	28	13	18	2,390357143
Б_В_10	3	пристрастие	парадигма пристрастие	п	8	17	17	13,1	2,94	1		59	28	13	18	2,390357143
Б_В_10	3	привычка	пристрастие привычка	п	2	18	18	47,7	0,91			59	28	13	18	2,390357143
Б_В_10	3	пренебрежение	привычка пренебрежение	п	2	19	19	5,8	0,1			59	28	13	18	2,390357143
Б_В_10	3	привлекать	пренебрежение привлекать	п	2	20	20	38,7	3,39	1		59	28	13	18	2,390357143
Б_В_10	3	прием	привлекать прием	п	2	21	21	109,8	0,83	1		59	28	13	18	2,390357143
Б_В_10	3	принимать	прием принимать	п	2	22	22	207,7	2,42	1		59	28	13	18	2,390357143
Б_В_10	3	предавать	принимать предавать	п	8	23	23	6,4	1,55	1		59	28	13	18	2,390357143
Б_В_10	3	показывать	предавать показывать	п	8	24	24	155	0,77	1		59	28	13	18	2,390357143
Б_В_10	3	проводить	показывать проводить 	п	8	25	25	167,6	0,1			59	28	13	18	2,390357143
Б_В_10	3	повод	проводить повод	п	2	26	26	151,2	0,59	1		59	28	13	18	2,390357143
Б_В_10	3	принятие	повод принятие	п	8	27	27	69,5	3,81	1		59	28	13	18	2,390357143
Б_В_10	3	проблема	принятие проблема	п	8	28	28	474,9	0,1			59	28	13	18	2,390357143
Б_В_10	1	отвержение		о		1	29	1,1				59	28	13	18	2,390357143
Б_В_10	1	общество	отвержение общество	о	3	2	30	314,7	0,1			59	28	13	18	2,390357143
Б_В_10	1	организация	общество организация	о	6	3	31	312,4	0,33			59	28	13	18	2,390357143
Б_В_10	1	остров	организация остров	о	8	4	32	95,7	2,81			59	28	13	18	2,390357143
Б_В_10	1	окорок	остров окорок	о	8	5	33	2,2	0,44	1		59	28	13	18	2,390357143
Б_В_10	1	организация	окорок организация	о	8	6	34	312,4	1,48	1		59	28	13	18	2,390357143
Б_В_10	1	оргАн	организация оргАн	о	1	7	35	288,4	1,3			59	28	13	18	2,390357143
Б_В_10	1	Орган	оргАн Орган	о	1	8	36	288,4	0,54	1		59	28	13	18	2,390357143
Б_В_10	1	октава	Орган октава	о	33	9	37	1,5	2,65			59	28	13	18	2,390357143
Б_В_10	2	орк	октава орк	о	11	10	38	0,6	10,98	1		59	28	13	18	2,390357143
Б_В_10	2	онтогенез	орк онтогенез	о	8	11	39	1,7	3,33			59	28	13	18	2,390357143
Б_В_10	3	опция	онтогенез опция	о	8	12	40	2,4	6,47			59	28	13	18	2,390357143
Б_В_10	3	онкология	опция онкология	о	5	13	41	1	10,91			59	28	13	18	2,390357143
Б_В_10	1	совместимость		с		1	42	2,9				59	28	13	18	2,390357143
