	ID	quota sec	word	previous + word	first_letter	strategy	order_letter	order_whole_test	frequency	pause	VP	VS	N of words	N of words_P	N of words_O	N of words_S	mean pause	type	strategy_name	strategy_paper_name
0	Б_В_10	1	пара		п	nan	1	1	152.7				59	28	13	18	2.390357143	students		
1	Б_В_10	1	период	['пара', 'период']	п	8	2	2	204.2	0.1			59	28	13	18	2.390357143	students	individual association strategy	S4
2	Б_В_10	1	парад	['период', 'парад']	п	11	3	3	13.2	3.15	1.0		59	28	13	18	2.390357143	students	phonetic strategy	S1
3	Б_В_10	1	предлог	['парад', 'предлог']	п	8	4	4	12.7	1.0	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
4	Б_В_10	1	по	['предлог', 'по']	п	3	5	5	5786.7	0.7			59	28	13	18	2.390357143	students	semantic-field strategy	S3
5	Б_В_10	1	повреждение	['по', 'повреждение']	п	8	6	6	18.5	3.34	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
6	Б_В_10	1	походка	['повреждение', 'походка']	п	8	7	7	16.3	0.1			59	28	13	18	2.390357143	students	individual association strategy	S4
7	Б_В_10	1	переход	['походка', 'переход']	п	2	8	8	89.3	0.1			59	28	13	18	2.390357143	students	derivative strategy	S2
8	Б_В_10	1	панама	['переход', 'панама']	п	8	9	9	2.1	2.0	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
9	Б_В_10	1	педали	['панама', 'педали']	п	8	10	10	8.6	0.96	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
10	Б_В_10	2	павлин	['педали', 'павлин']	п	8	11	11	2.4	4.31	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
11	Б_В_10	2	парк	['павлин', 'парк']	п	8	12	12	69.5	1.04			59	28	13	18	2.390357143	students	individual association strategy	S4
12	Б_В_10	2	падать	['парк', 'падать']	п	8	13	13	84.2	2.22	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
13	Б_В_10	2	парик	['падать', 'парик']	п	8	14	14	7.2	0.1			59	28	13	18	2.390357143	students	individual association strategy	S4
14	Б_В_10	2	прикол	['парик', 'прикол']	п	8	15	15	3.4	3.07			59	28	13	18	2.390357143	students	individual association strategy	S4
15	Б_В_10	2	парадигма	['прикол', 'парадигма']	п	8	16	16	7.6	3.46	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
16	Б_В_10	3	пристрастие	['парадигма', 'пристрастие']	п	8	17	17	13.1	2.94	1.0		59	28	13	18	2.390357143	students	individual association strategy	S4
17	Б_В_10	3	привычка	['пристрастие', 'привычка']	п	2	18	18	47.7	0.91			59	28	13	18	2.390357143	students	derivative strategy	S2
18	Б_В_10	3	пренебрежение	['привычка', 'пренебрежение']	п	2	19	19	5.8	0.1			59	28	13	18	2.390357143	students	derivative strategy	S2
19	Б_В_10	3	привлекать	['пренебрежение', 'привлекать']	п	2	20	20	38.7	3.39	1.0		59	28	13	18	2.390357143	students	derivative strategy	S2
20	Б_В_10	3	прием	['привлекать', 'прием']	п	2	21	21	109.8	0.83	1.0		59	28	13	18	2.390357143	students	derivative strategy	S2
21	Б_В_10	3	принимать	['прием', 'принимать']	п	2	22	22	207.7	2.42	1.0		59	28	13	18	2.390357143	students	derivative strategy	S2
